ID_REF	VALUE
201681_s_at	9.11137
201682_at	7.77345
201683_x_at	7.68044
201684_s_at	9.12616
201685_s_at	7.39847
201686_x_at	9.4163
201687_s_at	6.92155
201688_s_at	6.76845
201689_s_at	6.76675
201690_s_at	8.7876
201691_s_at	6.28555
201692_at	8.25783
201693_s_at	6.20635
201694_s_at	11.4502
201695_s_at	6.35218
201696_at	9.21814
201697_s_at	6.64888
201698_s_at	8.47579
201699_at	6.49296
201700_at	8.57606
201701_s_at	6.32368
201702_s_at	7.65723
201703_s_at	6.85835
201704_at	9.03373
201705_at	7.25859
201706_s_at	7.67886
201707_at	9.01409
201708_s_at	8.79958
201709_s_at	10.1694
201710_at	7.65144
201711_x_at	6.64991
201712_s_at	7.30668
201713_s_at	6.27261
201714_at	6.71734
201715_s_at	6.74959
